Country,Site,Variety,Year,Sowing,Planting.date,Emergence.date,Ant.date,Mat.date,Tea,Taegf,Teegf,Yield,Yield.sd,Biom.an,Biom.an.sd,Biom.ma,Biom.ma.sd,HI,HI.sd,GNumber,GNumber.sd,NEM2,NEM2.sd,NGE,NGE.sd,GDM.ma,GDM.ma.sd,NPM2,NPM2.sd,Plant.height,Plant.height.sd,DOE,DOA,DOM,Days_to_anth,Days_to_matur,Treatment_name,Treatment_number
Mexico,Obregon,Bacanora,1991,N,1990-11-26,1990-12-03,1991-02-17,1991-04-06,19.37,21.19,20.06,6.3,0.38,6.14,0.13,15.22,0.65,41.42,0.87,12350.67,336.07,274.33,46.48,45.69,5.95,51.02,1.78,240,20,NA,NA,337,413,461,77,125,Obr_Mex_N91,13
Mexico,Obregon,Nesser,1991,N,1990-11-26,1990-12-03,1991-02-17,1991-04-09,19.37,21.41,20.18,6.11,0.65,6.39,1.07,15.22,1.77,40.18,1.07,11912.33,1643.87,318.33,65.86,37.85,3.28,51.45,2.05,240,10,NA,NA,337,413,464,77,128,Obr_Mex_N91B,13B
Mexico,Obregon,Bacanora,1991,L,1991-01-30,1991-02-06,1991-04-10,1991-05-13,21.45,24.91,22.65,4.09,NA,NA,NA,11.39,0.3,35.96,0.95,12063,333.99,332,10.54,36.37,2.02,33.96,0.93,NA,NA,NA,NA,37,100,133,64,97,Obr_Mex_L91,14
Mexico,Obregon,Nesser,1991,L,1991-01-30,1991-02-06,1991-04-06,1991-05-11,21.21,24.85,22.57,4.24,0.17,NA,NA,11.74,0.69,36.22,3.3,15791,1710.79,508,43.49,31.26,4.52,27.02,2.47,NA,NA,NA,NA,37,96,131,60,95,Obr_Mex_L91B,14B
Mexico,Obregon,Bacanora,1993,L,1993-03-08,1993-03-15,1993-05-14,1993-06-13,24.5,28.16,25.71,2.25,0.04,NA,NA,5.96,0.35,37.82,2.5,7952.67,75.5,423,51.1,18.99,2.39,28.26,0.83,106.67,11.55,107,NA,74,134,164,61,91,Obr_Mex_93,15
Mexico,Obregon,Nesser,1993,L,1993-03-08,1993-03-15,1993-05-11,1993-06-11,24.39,27.84,25.62,2.05,0.16,NA,NA,5.74,1.99,37.57,10.26,7727.5,678.12,505,69.3,15.35,0.76,26.6,0.28,130,14.14,127,NA,74,131,162,58,89,Obr_Mex_93B,15B
Mexico,Tlaltizapan,Bacanora,1991,N,1990-12-03,1990-12-10,1991-02-13,1991-03-23,24.58,28.39,25.99,3.84,0.44,5.5,0.32,9.42,1.2,40.79,1.49,9865.67,1351.5,430,56.32,23.06,3.15,39.01,1.24,300.67,36.69,NA,NA,344,409,447,66,104,Tla_Mex_N91,16
Mexico,Tlaltizapan,Nesser,1991,N,1990-12-03,1990-12-10,1991-02-11,1991-03-21,24.56,28.14,25.89,4.26,0.11,5.75,0.9,10.29,1.13,41.66,3.85,14003,253.53,567.33,125.13,25.55,5.89,30.39,0.54,338.33,55.08,NA,NA,344,407,445,64,102,Tla_Mex_N91B,16B
Mexico,Tlaltizapan,Bacanora,1991,L,1991-02-24,1991-03-03,1991-04-30,1991-05-27,30.25,29.68,30.08,2.56,0.06,3.86,0.2,7.37,0.63,34.84,3.83,8406.5,795.5,222,38.18,38.12,2.97,30.5,2.12,247.5,3.54,NA,NA,62,120,147,59,86,Tla_Mex_L91,17
Mexico,Tlaltizapan,Nesser,1991,L,1991-02-24,1991-03-03,1991-04-24,1991-05-22,30.05,30.07,30.11,2.38,0.16,3.46,0.22,6.37,0.46,37.45,0.22,8591,466.69,345,69.3,25.55,6.49,27.75,0.35,282.5,10.61,NA,NA,62,114,142,53,81,Tla_Mex_L91B,17B
Mexico,Tlaltizapan,Bacanora,1992,N,1991-12-03,1991-12-10,1992-02-13,1992-03-22,23.07,26.96,24.49,4.14,0.29,7.43,0.29,10.56,1.43,39.4,2.48,11131.67,1249.62,390.33,66.04,28.71,1.71,37.33,2.36,253.33,13.5,87,NA,344,409,447,66,104,Tla_Mex_N92,18
Mexico,Tlaltizapan,Nesser,1992,N,1991-12-03,1991-12-10,1992-02-13,1992-03-21,23.07,26.93,24.46,3.96,0.22,7.01,0.2,9.64,0.78,41.1,1.32,12710.67,1027.72,481,45.21,26.59,3.52,31.17,1.04,262.33,20.4,76,NA,344,409,446,66,103,Tla_Mex_N92B,18B
Mexico,Tlaltizapan,Bacanora,1992,L,1992-03-02,1992-03-09,1992-05-06,1992-06-06,28.76,27.07,28.14,1.91,0.28,4.67,0.05,5.06,0.07,37.77,6.01,6273,1052.17,293.5,3.54,21.35,3.33,30.5,0.71,170,4.24,58,NA,69,127,158,59,90,Tla_Mex_L92,19
Mexico,Tlaltizapan,Nesser,1992,L,1992-03-02,1992-03-09,1992-04-27,1992-05-30,28.7,27.68,28.3,2.41,0.24,3.26,0.25,4.91,0.55,49.19,1.4,8303.67,707.66,399,56.67,20.93,1.3,29,0.5,204.67,23.59,47,NA,69,118,151,50,83,Tla_Mex_L92B,19B
Sudan,Wad Medani,Bacanora,1991,N,1990-11-27,1990-12-04,1991-01-30,1991-03-03,25.12,25.84,25.34,4.16,0.08,4,0.71,11.05,0.03,37.65,0.77,12804,231.93,394,33.94,32.59,2.22,32.5,0,151.5,30.41,NA,NA,338,395,427,58,90,Sud_Wad_N91,20
Sudan,Wad Medani,Nesser,1991,N,1990-11-27,1990-12-04,1991-01-24,1991-03-02,25.52,25.09,25.34,4.49,0.44,3.93,0.81,11.46,1.1,39.21,0.7,15323.33,1588.04,627.67,65.43,24.43,1.29,29.33,0.29,225.67,24.38,NA,NA,338,389,426,52,89,Sud_Wad_N91B,20B
