"Treatment_name","Treatment_number","Leaf_Ear_mass","Stem_mass","Sim_biom","Sim_yield","Sim_HI","RUE","Sim_Emer_Anth_days","Sim_Emer_Matur_days","No_exper","Repetition","Training_treatments","ML_model"
"1C",1,281.952585955419,227.022624618612,833.274849745943,324.299639171944,0.38918688026024,1.16107702255249,47,77,3,1,"1H,14H,10C","XG_boost"
"1H",2,191.131960827807,144.822118270501,607.552273456319,271.598194366637,0.447036750963889,0.0657264664769173,47,68,3,1,"1H,14H,10C","XG_boost"
"2C",3,231.756525027639,180.97405659826,536.919541319862,124.188959694912,0.231299012491945,0.324309557676315,43,61,3,1,"1H,14H,10C","XG_boost"
"7C",4,541.246816072873,482.567261882048,1730.66725431971,706.853176364794,0.408428121928409,1.20054137706757,76,124,3,1,"1H,14H,10C","XG_boost"
"7H",5,541.549134957977,482.87895001655,1560.96172951581,536.533644541292,0.34371992240176,0.585317969322205,76,120,3,1,"1H,14H,10C","XG_boost"
"8C",6,389.43036128944,329.796199995941,1156.06982657425,436.843265288873,0.37786927333218,0.357059985399246,56,91,3,1,"1H,14H,10C","XG_boost"
"9C",7,319.826637206902,262.641750313227,998.391271251423,415.922883731296,0.416593068977818,0.47500079870224,46,80,3,1,"1H,14H,10C","XG_boost"
"9H",8,297.79905574357,241.840068725753,867.842147652735,328.20302318342,0.378182857413776,0.548387825489044,46,75,3,1,"1H,14H,10C","XG_boost"
"10C",9,220.369177140382,170.732030919963,499.062222729289,107.96101467055,0.216327763861045,0.0684748589992523,39,54,3,1,"1H,14H,10C","XG_boost"
"14C",10,496.986534949566,437.23588334847,1627.59075737375,693.368339075718,0.426009017275646,0.13800998032093,85,124,3,1,"1H,14H,10C","XG_boost"
"14H",11,493.663469135519,433.857132125477,1590.00018037546,662.479579114465,0.416653776075691,0.252748548984528,87,126,3,1,"1H,14H,10C","XG_boost"
"15C",12,471.363004822177,411.275920354101,1466.66211834748,584.023193171207,0.398198866572784,0.533566355705261,68,107,3,1,"1H,14H,10C","XG_boost"
"1C",1,265.551540040523,211.823243375962,844.882165610746,367.507382194352,0.434980636534906,0.35669715474155,47,75,3,1,"1H,14H,10C","Random_forests"
"1H",2,199.581213136621,152.250137780761,632.940190984501,281.108840073153,0.44413175854089,0.29851978106241,47,68,3,1,"1H,14H,10C","Random_forests"
"2C",3,239.648113099711,188.11845479532,548.09339938904,120.326831494665,0.21953709281811,0.516783375464088,43,56,3,1,"1H,14H,10C","Random_forests"
"7C",4,401.549714444265,341.692577498288,1415.57128949449,672.328997551943,0.474952411469181,0.555721238060133,76,114,3,1,"1H,14H,10C","Random_forests"
"7H",5,382.047731288607,322.577598234306,1251.96102121188,547.335691688963,0.437182693722487,0.38934786805264,76,108,3,1,"1H,14H,10C","Random_forests"
"8C",6,282.594008603311,227.619918469905,961.781901000343,451.56797392715,0.469511823270408,0.38084012891263,56,89,3,1,"1H,14H,10C","Random_forests"
