Model	Version	PNO	Trt	Planting.date	Emergence.date	Ant.date	Mat.date	FLN	Yield	Biom.an	Biom.ma	HI	GNumber	CroN.an	CroN.ma	GrainN.ma	GPC	GDM.ma	GNM.ma	ET.ma	Transp.ma
AE	Original	10	C	2008-04-28	2008-05-06	2008-07-10	2008-09-01	21.94	2.91	6.52	8.25	35.29	9413.98	79.91	94.56	75.52	14.79	30.91	0.8	451.96	368.87
AE	Original	11	C	2008-08-25	2008-08-31	NA	NA	NA	2.16	NA	NA	NA	NA	NA	NA	54.96	NA	42.81	1.09	NA	NA
AE	Original	14	C	2008-12-01	2008-12-21	2009-03-22	2009-05-02	21.37	7.44	11.46	21.01	35.39	16527.3	160.37	256.85	206.41	15.82	45	1.25	549.5	475.8
AE	Original	14	H	2008-12-01	2008-12-17	2009-03-10	2009-04-19	22.6	6.18	9.52	18.16	34.1	13742.04	130.22	246.68	185.33	17.08	45	1.35	466.02	397.19
AE	Original	15	C	2009-01-12	2009-01-22	2009-04-10	2009-05-15	23.62	7.74	11.98	19.1	40.5	17190.93	160.86	240.11	198.79	14.65	45	1.16	620.53	461.36
AE	Original	1	C	2007-03-13	2007-03-25	2007-05-16	2007-06-25	22.61	5.12	8.11	13.21	38.78	11379.63	111.4	232.74	149.52	16.64	45	1.31	648.82	493.41
AE	Original	1	H	2007-03-13	2007-03-25	2007-05-17	2007-06-26	22.5	5.15	8.16	13.19	39.04	11439.27	112.14	233.08	150.27	16.64	45	1.31	650.58	495.55
AE	Original	2	C	2007-04-19	2007-04-28	2007-06-25	2007-09-03	22.47	3.78	5.93	9.13	41.4	8400.98	76.84	177.22	112.91	17.03	44.99	1.34	670.45	436.93
AE	Original	3	C	2007-06-12	2007-06-26	NA	NA	NA	1.16	NA	NA	NA	NA	NA	NA	29.4	NA	44.99	1.14	NA	NA
AE	Original	4	C	2007-07-25	2007-08-01	NA	NA	NA	1.52	NA	NA	NA	NA	NA	NA	45.53	NA	45.01	1.35	NA	NA
AE	Original	7	C	2008-01-02	2008-01-15	2008-04-10	2008-05-14	16.99	7.17	11.91	18.6	38.58	17570.77	154.48	190.37	150.85	11.98	40.83	0.86	537.79	447.99
AE	Original	7	H	2008-01-02	2008-01-15	2008-04-01	2008-05-04	18.55	6.68	10.21	17.21	38.81	14909.8	129.32	193.42	156.22	13.33	44.81	1.05	508.27	422.73
AE	Original	8	C	2008-02-13	2008-02-25	2008-04-27	2008-06-01	22.45	7.17	11.4	18.54	38.67	15934.87	127.28	219.99	177.12	14.08	45	1.11	624.81	468.06
AE	Original	9	C	2008-03-10	2008-03-20	2008-05-13	2008-06-20	23.28	6.8	10.84	17.1	39.74	15106.66	136.91	205.65	167.85	14.08	45	1.11	617.31	470.21
AE	Original	9	H	2008-03-10	2008-03-19	2008-05-08	2008-06-13	23.84	6.39	10.17	16.81	38.04	14210.78	128.43	203.91	163.67	14.59	45	1.15	627.58	481.29
AN	Original	10	C	2008-04-28	2008-05-06	2008-06-27	2008-07-30	NA	0.1	1.73	1.75	5.93	1365.8	50.3	50.3	3.67	20.1	7.61	0.27	193.28	81.02
AN	Original	11	C	2008-08-25	2008-09-02	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	15.4	NA	44.59	0.96	NA	NA
AN	Original	14	C	2008-12-01	2008-12-21	2009-03-18	2009-05-01	NA	9.18	12.21	20.22	45.37	21063.85	234.04	234.14	185.39	11.52	43.56	0.88	638.34	556.11
AN	Original	14	H	2008-12-01	2008-12-19	2009-03-08	2009-04-21	NA	9.2	10.66	18.91	48.64	18393.19	207.42	235.68	204.67	12.68	50	1.11	574.78	499.54
AN	Original	15	C	2009-01-12	2009-01-23	2009-04-10	2009-05-17	NA	6.77	12.05	17.66	38.3	23421.27	225.4	227.52	178.35	15.02	28.89	0.76	629.2	546.19
AN	Original	1	C	2007-03-13	2007-03-27	2007-05-23	2007-06-25	NA	2.22	7.11	8.68	25.56	9265.74	150.23	150.23	68.19	17.52	23.94	0.74	464.58	362.01
AN	Original	1	H	2007-03-13	2007-03-27	2007-05-19	2007-06-21	NA	1.23	5.61	6.53	18.78	6959.32	127.43	127.43	40.53	18.88	17.6	0.58	372	257
AN	Original	2	C	2007-04-19	2007-04-24	2007-06-14	2007-07-18	NA	0.4	3.17	3.25	12.39	4288.06	66.14	66.14	14.39	20.35	9.4	0.34	300.48	152.29
AN	Original	3	C	2007-06-12	2007-06-24	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.14	NA	13.27	0.45	NA	NA
AN	Original	4	C	2007-07-25	2007-08-02	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.07	NA	41.17	0.92	NA	NA
AN	Original	7	C	2008-01-02	2008-01-13	2008-04-06	2008-05-15	NA	8.48	11.92	19.16	44.27	21018.59	219.95	249.09	212.18	14.26	40.35	1.01	700.7	615.48
AN	Original	7	H	2008-01-02	2008-01-13	2008-03-30	2008-05-06	NA	7.11	10.49	16.63	42.79	18471.8	202.81	206.44	167.61	13.43	38.51	0.91	617.72	531.04
AN	Original	8	C	2008-02-13	2008-02-20	2008-04-28	2008-06-04	NA	5.32	10.35	14.58	36.51	18108.3	181.97	187.8	134.06	14.36	29.39	0.74	628.44	542.41
